День,Пара,Время,Предмет
Понедельник,I,8:30-10:05,ОБНАРУЖ. И РАСПОЗНАВ. СИГНАЛОВ лекц. НПП "Тайфун" Мазин
Понедельник,II,10:20-11:55,ОБНАРУЖ. И РАСПОЗНАВ. СИГНАЛОВ лаб. I НПП "Тайфун" Потапов / АНАЛИЗ РИСКОВ ИНФОРМ. БЕЗОП. лаб. II НПП "Тайфун" Петрищев
Понедельник,III,12:10-13:45,АНАЛИЗ РИСКОВ ИНФОРМ. БЕЗОП. лекц. НПП "Тайфун" Петрищев
Понедельник,IV,14:15-15:50,АНАЛИЗ РИСКОВ ИНФОРМ. БЕЗОП. упр. НПП "Тайфун" Бутырский
Вторник,III,12:10-13:45,ЗАЩИТА В ГЛОБАЛЬНЫХ СЕТЯХ лаб. I УАК2-4.04 Празян
Вторник,IV,14:15-15:50,ВЫЧИСЛИТ. КОМПЛЕКСЫ И СЕТИ лекц. УАК2-4.23 Жарова
Вторник,V,16:05-17:40,БЕЗОПАСНОСТЬ ОС лекц. УАК2-4.23 Жарова
Вторник,VI,17:50-19:25,СЕТИ И СИСТЕМЫ ПЕРЕДАЧИ ИНФ. лаб. II УАК2-4.05 Войщев
Вторник,VII,19:35-21:10,СЕТИ И СИСТЕМЫ ПЕРЕДАЧИ ИНФ. лаб. II УАК2-4.05 Войщев
Среда,I,8:30-10:05,ВОЕННАЯ ПОДГОТОВКА к.4
Четверг,I,8:30-10:05,ЗАЩИТА В ГЛОБАЛЬНЫХ СЕТЯХ лаб. I УАК2-4.06 Празян / ВЫЧИСЛИТ. КОМПЛЕКСЫ И СЕТИ лаб. II УАК2-4.05 Филатов
Четверг,II,10:20-11:55,СЕТИ И СИСТЕМЫ ПЕРЕДАЧИ ИНФ. лекц. УАК2-2.61 Молчанов
Четверг,III,12:10-13:45,ЭКОНОМИКА лекц. УАК1-4.03 Яловенко
Пятница,I,8:30-10:05,ЗАЩИТА В ГЛОБАЛЬНЫХ СЕТЯХ лекц. УАК2-4.06 Празян
Пятница,II,10:20-11:55,ЗАЩИТА В ГЛОБАЛЬНЫХ СЕТЯХ упр. УАК2-4.06 Празян
Пятница,III,12:10-13:45,ОРГАНИЗ. И ПРАВОВОЕ ОБЕСПЕЧЕНИЕ ИБ лекц. УАК2-3.49 Соколов
Пятница,IV,14:15-15:50,ОРГАНИЗ. И ПРАВОВОЕ ОБЕСПЕЧЕНИЕ ИБ лаб. I УАК2-4.09 Соколов
Суббота,I,8:30-10:05,БЕЗОПАСНОСТЬ ОС лаб. II УАК2-4.05 Войщев
Суббота,II,10:20-11:55,БЕЗОПАСНОСТЬ ОС к.пр. к.2
